[['X', 'O', ' '], ['X', 'O', 'X'], ['O', 'X', 'O']]:0.5
[['X', 'O', ' '], ['X', 'O', 'X'], ['O', ' ', 'X']]:0.9999999976497896
[['X', 'O', ' '], ['X', 'O', 'X'], ['O', 'O', 'X']]:1.0
[['X', 'O', ' '], ['X', 'O', 'X'], [' ', 'O', ' ']]:1.0
[['X', 'O', ' '], ['X', 'O', ' '], ['X', ' ', ' ']]:0.0
[['X', 'O', ' '], ['X', ' ', 'O'], [' ', ' ', ' ']]:0.45
[['X', 'O', ' '], ['X', 'X', 'O'], [' ', ' ', ' ']]:0.5
[['X', 'O', ' '], ['X', 'X', 'O'], ['O', ' ', ' ']]:0.015451577191316302
[['X', 'O', ' '], ['X', 'X', 'O'], ['O', 'X', ' ']]:0.5
[['X', 'O', 'O'], ['X', 'X', 'O'], ['O', 'X', ' ']]:7.842120214565758e-06
[['X', 'O', 'O'], ['X', 'X', 'O'], ['O', 'X', 'X']]:0.0
[['X', 'O', ' '], ['X', 'X', 'O'], ['O', 'X', 'O']]:0.5
[['X', 'O', ' '], ['X', 'X', 'O'], ['O', ' ', 'X']]:0.0
[['X', 'O', ' '], ['X', 'X', 'O'], [' ', 'O', ' ']]:0.45
[['X', 'O', ' '], ['X', 'X', 'O'], ['X', 'O', ' ']]:0.0
[['X', 'O', ' '], ['X', 'X', 'O'], [' ', ' ', 'O']]:0.015451577191316302
[['X', 'O', ' '], ['X', 'X', 'O'], ['X', ' ', 'O']]:0.0
[['X', 'O', ' '], ['X', ' ', 'O'], ['X', ' ', ' ']]:0.0
[['X', 'O', ' '], ['X', ' ', ' '], ['O', ' ', ' ']]:0.5
[['X', 'O', ' '], ['X', 'X', ' '], ['O', ' ', ' ']]:0.018134956834242315
[['X', 'O', ' '], ['X', 'X', ' '], ['O', 'O', ' ']]:0.015451577191316302
[['X', 'O', ' '], ['X', 'X', 'X'], ['O', 'O', ' ']]:0.0
[['X', 'O', ' '], ['X', 'X', ' '], ['O', ' ', 'O']]:0.017168419101462558
[['X', 'O', ' '], ['X', 'X', 'X'], ['O', ' ', 'O']]:0.0
[['X', 'O', ' '], ['X', ' ', 'X'], ['O', ' ', ' ']]:0.5
[['X', 'O', ' '], ['X', ' ', 'X'], ['O', 'O', ' ']]:0.5
[['X', 'O', ' '], ['X', ' ', 'X'], ['O', 'O', 'X']]:0.5
[['X', 'O', 'O'], ['X', ' ', 'X'], ['O', 'O', 'X']]:0.5
[['X', 'O', 'O'], ['X', 'X', 'X'], ['O', 'O', 'X']]:0.0
[['X', 'O', ' '], ['X', ' ', 'X'], ['O', ' ', 'O']]:0.5
[['X', 'O', ' '], ['X', ' ', 'X'], ['O', 'X', 'O']]:0.5
[['X', 'O', 'O'], ['X', ' ', 'X'], ['O', 'X', 'O']]:0.1937102445
[['X', 'O', 'O'], ['X', 'X', 'X'], ['O', 'X', 'O']]:0.0
[['X', 'O', ' '], ['X', ' ', ' '], ['O', 'X', ' ']]:0.5
[['X', 'O', 'O'], ['X', ' ', ' '], ['O', 'X', ' ']]:0.5
[['X', 'O', 'O'], ['X', 'X', ' '], ['O', 'X', ' ']]:1.6555450455528916e-05
[['X', 'O', 'O'], ['X', 'X', ' '], ['O', 'X', 'O']]:7.842120214565758e-06
[['X', 'O', 'O'], ['X', ' ', ' '], ['O', 'X', 'X']]:0.19905668954009031
[['X', 'O', 'O'], ['X', 'O', ' '], ['O', 'X', 'X']]:1.0
[['X', 'O', ' '], ['X', 'O', ' '], ['O', 'X', ' ']]:0.5
[['X', 'O', ' '], ['X', 'O', ' '], ['O', 'X', 'X']]:0.5
[['X', 'O', ' '], ['X', 'O', 'O'], ['O', 'X', 'X']]:0.5
[['X', 'O', ' '], ['X', ' ', 'O'], ['O', 'X', ' ']]:0.5
[['X', 'O', ' '], ['X', ' ', 'O'], ['O', 'X', 'X']]:0.5
[['X', 'O', 'O'], ['X', ' ', 'O'], ['O', 'X', 'X']]:0.1937102445
[['X', 'O', ' '], ['X', ' ', ' '], ['O', 'X', 'O']]:0.5
